access, 13246837, 
25931685, 
42262353, 
54932893, 
69543575, 
83352756, 
95592024, 
107779114, 
125252923, 
133028640, 
150055943, 
160179014, 
172734728, 
185147312, 
203821088, 
210602033, 
220370872, 
232930068, 
246496393, 
257290797, 
270673132, 
282372099, 
293340760, 
305463286, 
317860502, 
330369557, 
342278142, 
354667157, 
366982249, 
380655008, 
391207751, 
403350634, 
417373712, 
427588178, 
439764777, 
451773954, 
463865665, 
476029296, 
488214351, 
500770132, 
516849620, 
528441578, 
554759048, 
551997081, 
561748691, 
573324576, 
591831202, 
603603495, 
610426182, 
622455255, 
634538981, 
650057148, 
663761018, 
683330089, 
684395914, 
704979200, 
709595535, 
718932136, 
733620840, 
746619258, 
757145787, 
782810227, 
779515914, 
791410317, 
803417123, 
822201237, 
827535385, 
842741215, 
859897791, 
872272040, 
877068224, 
889649597, 
901360154, 
917458259, 
926383911, 
938725163, 
950059258, 
962022431, 
975799054, 
992180577, 
1002889894, 
1014116145, 
1027415018, 
1039209264, 
1052047800, 
1070319965, 
1079435547, 
1089985766, 
1101519794, 
1113491668, 
1132615794, 
1170437171, 
1180297600, 
1198922166, 
1253327968, 
1312928817, 
1328596382, 
1336634834, 
1294003088, 
1418229894, 

getpid, 
10754914, 
23606806, 
36287780, 
49490505, 
64577914, 
78181465, 
90226720, 
102478901, 
114360582, 
126435120, 
138785147, 
150971533, 
163147231, 
175509891, 
190574222, 
200187997, 
212224197, 
225451313, 
241747159, 
249060905, 
260853151, 
273084818, 
285352071, 
298284029, 
309946345, 
322488843, 
334972960, 
348165545, 
368733476, 
370617576, 
382979289, 
395104985, 
407074373, 
419334837, 
436763292, 
445778883, 
455911480, 
468111157, 
480190053, 
492308972, 
513071391, 
526546028, 
528769874, 
541482972, 
560362880, 
565312502, 
577611088, 
589338848, 
601658803, 
613283175, 
625500683, 
638552767, 
650847577, 
667633988, 
674684023, 
687430857, 
699410827, 
711125298, 
722539474, 
734655555, 
748717951, 
763838943, 
771954509, 
783595046, 
795863040, 
808662597, 
820196546, 
839174716, 
845839975, 
857012203, 
869079634, 
881276298, 
894896165, 
910538549, 
978868923, 
933235281, 
943608434, 
959804751, 
967788423, 
998032423, 
994927186, 
1008560932, 
1043997083, 
1059614053, 
1075358480, 
1071450575, 
1116940714, 
1099003548, 
1144591349, 
1173174778, 
1196082308, 
1203123851, 
1177907274, 
1199542975, 
1279120000, 
1266920330, 
1276837459, 
1302975103, 
1407623991, 
1567390152, 

gettid, 
11150541, 
22899049, 
35932093, 
51423717, 
68875194, 
81493677, 
93820006, 
105990323, 
118557723, 
131467545, 
144131708, 
156612745, 
168861086, 
181146141, 
193352729, 
206479761, 
218922563, 
231338052, 
243581283, 
269164548, 
277882181, 
280734132, 
293096403, 
305061000, 
317980954, 
330473926, 
342119148, 
363256003, 
366721179, 
378870086, 
391260169, 
403869405, 
418900809, 
429970031, 
450193221, 
457096142, 
465754003, 
477065431, 
489924130, 
502068902, 
520355331, 
527095217, 
539253194, 
551840982, 
567098768, 
594614101, 
591706694, 
601032491, 
612797912, 
631389215, 
638034511, 
651921815, 
665728682, 
690349639, 
688601723, 
754328535, 
710785046, 
729384277, 
742585188, 
750885905, 
763501698, 
779661964, 
783651126, 
797379245, 
814226082, 
823206911, 
837206970, 
859734740, 
856528120, 
885676068, 
890340444, 
910380102, 
944837314, 
949896506, 
951172319, 
986222209, 
1028836700, 
1011082969, 
1045002152, 
1105771197, 
1162754441, 
1093240277, 
1125964283, 
1154139828, 
1178664082, 
1285461521, 
1325366672, 
1258370582, 
1256677745, 
1325561765, 
1404821220, 
1347004794, 
1491729285, 
1530123478, 
1454725397, 
1503886137, 
1472140062, 
1826944032, 
1892699717, 
1696395917, 

dup, 
13507545, 
25571471, 
36738323, 
55995654, 
71394652, 
83358760, 
95027508, 
107994511, 
121380727, 
133857252, 
146139591, 
158819225, 
171074388, 
183523951, 
196030917, 
209045637, 
222507586, 
234129944, 
247360796, 
282433897, 
273120154, 
283513600, 
295942266, 
312260215, 
324814627, 
334773618, 
348908482, 
370723777, 
377239107, 
381371352, 
397674077, 
408205225, 
417903774, 
438088914, 
447073227, 
476500052, 
466983789, 
479227594, 
491736339, 
510283655, 
522515317, 
529729250, 
540273622, 
554349277, 
568454713, 
577839892, 
588848306, 
601087237, 
614949934, 
634278320, 
637597206, 
651529488, 
664061040, 
678119145, 
688328785, 
701948477, 
716704025, 
735531994, 
738072529, 
749519322, 
764209765, 
777454431, 
784510459, 
802600552, 
818566508, 
821371477, 
833578524, 
848857844, 
872288014, 
899703714, 
935692809, 
952246926, 
941801714, 
963496259, 
973943532, 
1013005581, 
1037237718, 
1041879468, 
1122206497, 
1166430095, 
1234285937, 
1286806363, 
1181983226, 
1179861877, 
1210846945, 
1274282603, 
1409967224, 
1447728403, 
1394939338, 
1476408133, 
1327361940, 
1313207179, 
1385417956, 
1485050526, 
1543252852, 
1484622614, 
1389208932, 
1413017505, 
1433500892, 
1461114214, 


